"idno","ppltrst","happy","cgtsday","alcfreq","height","weight","gndr","yrbrn"
"357",927608,"5","8",NA,"2-3 times a month",165,66,"Female",1979
"358",927616,"Most people can be trusted","9",NA,"2-3 times a month",188,101,"Male",1941
"359",927624,"8","8",NA,"Once a week",160,69,"Female",1961
"360",927632,"5","9",NA,"Never",158,64,"Female",1976
"361",927640,"8","8",NA,"Once a week",180,87,"Female",1988
"362",927739,"7","Extremely happy",NA,"Several times a week",180,89,"Male",1976
"363",927763,"5","7",NA,"Less than once a month",185,97,"Male",1938
"364",927771,"8","Extremely happy",NA,"Once a month",181,63,"Female",1984
"365",927828,"8","9",NA,"2-3 times a month",164,63,"Female",1972
"366",927836,"8","9",NA,"Several times a week",172,63,"Male",1967
"367",927860,"Most people can be trusted","9",NA,"Several times a week",169,62,"Female",1955
"368",927894,"8","8",12,"2-3 times a month",193,83,"Male",1967
"369",927933,"6","8",NA,"Once a week",159,51,"Female",1990
"370",927959,"8","9",NA,"Every day",157,61,"Female",1964
"371",927967,"8","8",0,"Several times a week",175,82,"Male",1967
"372",927983,"3","8",20,"Once a month",164,54,"Female",1989
"373",928002,"8","8",NA,"Several times a week",146,48,"Female",1935
"374",928028,"8","6",10,"Several times a week",181,75,"Male",1986
"375",928044,"7","2",NA,"Every day",170,59,"Male",1937
"376",928060,"8","8",12,"Never",168,95,"Male",1985
"377",928086,"8","Extremely happy",NA,"Several times a week",176,65,"Female",1949
"378",928094,"4","8",NA,"Never",162,52,"Female",1998
"379",928109,"8","7",NA,"Once a week",168,67,"Female",1964
"380",928125,"3","8",NA,"2-3 times a month",183,87,"Male",1968
"381",928133,"7","6",NA,"Less than once a month",183,82,"Male",1993
"382",928167,"8","7",NA,"2-3 times a month",183,120,"Male",1956
"383",928175,"5","Extremely happy",NA,"Several times a week",162,52,"Female",1955
"384",928248,"8","9",NA,"2-3 times a month",168,69,"Female",1983
"385",928256,"6","8",NA,"Once a week",173,75,"Male",1974
"386",928280,"You can't be too careful","9",20,"Never",148,65,"Female",1953
"387",928298,"5","Extremely happy",NA,"Less than once a month",163,NA,"Female",1952
"388",928303,"5","9",NA,"Several times a week",178,73,"Male",1969
"389",928311,"9","6",NA,"Less than once a month",194,94,"Male",1973
"390",928345,"6","7",7,"Several times a week",177,84,"Male",1967
"391",928361,"9","8",NA,"Once a week",166,59,"Female",1955
"392",928379,"8","8",NA,"Once a month",171,58,"Female",1998
"393",928400,"8","8",NA,"Once a week",167,61,"Female",1969
"394",928418,"7","6",NA,"Several times a week",187,80,"Male",1997
"395",928434,"8","6",NA,"2-3 times a month",164,64,"Female",1960
"396",928476,"6","9",NA,"2-3 times a month",180,79,"Male",1964
"397",928492,"5","6",20,"Once a week",162,80,"Female",1968
"398",928515,"7","8",NA,"Several times a week",178,89,"Male",1939
"399",928565,"4","Extremely happy",NA,"2-3 times a month",178,88,"Male",1982
"400",928573,"8","8",NA,"Never",168,68,"Female",1936
"401",928604,"8","Extremely happy",2,"Once a month",151,NA,"Female",1940
"402",928646,"7","6",NA,"Once a month",161,70,"Female",1959
"403",928662,"8","Extremely happy",NA,"Once a week",176,68,"Female",1973
"404",928670,"7","Extremely happy",NA,"Several times a week",183,81,"Male",1964
"405",928701,"9","8",NA,"Once a week",183,82,"Male",1989
"406",928727,"6","Extremely happy",NA,"2-3 times a month",187,68,"Male",1998
"407",928735,"8","Extremely happy",NA,"Once a week",165,76,"Female",1943
"408",928769,"6","8",NA,"Never",155,70,"Female",1981
"409",928777,"8","8",20,"2-3 times a month",189,71,"Male",1972
"410",928785,"8","9",20,"Once a week",183,125,"Male",1967
"411",928808,"8","7",NA,"Once a week",182,81,"Male",1988
"412",928816,"7","9",NA,"2-3 times a month",196,105,"Male",1973
"413",928824,"7","Extremely happy",NA,"2-3 times a month",163,56,"Female",1981
"414",928832,"6","6",NA,"2-3 times a month",174,85,"Male",1963
"415",928840,"3","5",NA,"Less than once a month",187,98,"Male",1998
"416",928858,"7","9",NA,"2-3 times a month",185,80,"Male",1998
"417",928874,"7","7",NA,"Less than once a month",187,64,"Male",1999
"418",928905,"6","8",20,"Once a week",173,68,"Male",1952
